,year,month,day,richter,area,region,deaths,,,year1,richter1,deaths1
1,1902,April,19,7.5,Quezaltenango and San Marco,Guatemala,2000,,,1902,6.95,3350
2,1902,December,16,6.4,Uzbekistan,Russia,4700,,,1903,6.4,2250
3,1903,April,28,7,Malazgirt,Turkey,3500,,,1905,7.5,19000
4,1903,May,28,5.8,Gole,Turkey,1000,,,1906,7.975,2283
5,1905,April,4,7.5,Kangra,India,19000,,,1907,8.1,12000
6,1906,January,31,8.8,Esmeraldas (off coast),Ecuador,1000,,,1908,7.2,72000
7,1906,March,16,6.8,Chia-i,Taiwan,1250,,,1909,7.3,5000
8,1906,April,18,7.7,San Francisco,United States,3000,,,1912,7.4,2800
9,1906,August,17,8.6,Valparaiso,Chile,3882,,,1914,7,4000
10,1907,October,21,8.1,Central,Asia,12000,,,1915,7,32610
11,1908,December,28,7.2,Messina,Italy,72000,,,1917,7.5,1800
12,1909,January,23,7.3,Silakhor,Iran,5000,,,1918,7.4,1000
13,1912,August,9,7.4,Murefte,Turkey,2800,,,1920,7.8,2.00E+05
14,1914,October,3,7,Burdur,Turkey,4000,,,1923,6.966666667,49500
15,1915,January,13,7,Avezzano,Italy,32610,,,1925,7,5800
16,1917,July,30,7.5,Yunnan,China,1800,,,1927,7.6,21960
17,1918,February,13,7.4,Guangdong,China,1000,,,1929,7.2,3800
18,1920,December,16,7.8,Gansu,China,2.00E+05,,,1930,6.85,1952
19,1923,March,24,7.3,Sichuan,China,3500,,,1931,6.566666667,5100
20,1923,March,25,5.7,Torbat-e Heydariyeh,Iran,2200,,,1933,7.366666667,4135
21,1923,September,1,7.9,Yokohama,Japan,142800,,,1934,8.1,10700
22,1925,March,16,7,Yunnan,China,5800,,,1935,7.35,16635
23,1927,March,7,7.6,Tango,Japan,3020,,,1939,7.8,30350
24,1927,May,22,7.6,Gansu,China,40900,,,1940,7.3,1000
25,1929,May,1,7.2,Koppeh Dagh,Iran,3800,,,1942,7.3,1100
26,1930,May,6,7.2,Salmas,Iran,2500,,,1943,7.5,2595
27,1930,July,23,6.5,Irpinia,Italy,1404,,,1944,7.4,5395
28,1931,March,31,6,Managua,Nicaragua,2500,,,1945,7.55,2981
29,1931,April,27,5.7,Border,Armenia-Azerbaijan,2800,,,1946,7.1,1354
30,1931,August,10,8,Xinjiang,China,10000,,,1948,7.3,56885
31,1933,March,2,8.4,Sanriku,Japan,2990,,,1949,7.15,8525
32,1933,March,10,6.2,Long Beach,United States,115,,,1950,8.6,1526
33,1933,August,25,7.5,Sichuan,China,9300,,,1951,5.8,1000
34,1934,January,15,8.1,Bihar,India-Nepal,10700,,,1953,7.3,1070
35,1935,April,21,7.1,Miao-Li,Taiwan,3270,,,1954,6.8,1250
36,1935,May,30,7.6,Quetta,Pakistan,30000,,,1956,7.7,2000
37,1939,January,25,7.8,Chillan,Chile,28000,,,1957,7.1,1165
38,1939,December,26,7.8,Erzincan,Turkey,32700,,,1960,7.6,6828
39,1940,November,10,7.3,Vrancea,Romania,1000,,,1962,7.1,12255
40,1942,December,20,7.3,Erbaa,Turkey,1100,,,1963,6,1100
41,1943,September,10,7.4,Tottori,Japan,1190,,,1964,9.2,131
42,1943,November,26,7.6,Ladik,Turkey,4000,,,1966,6.9,1510
43,1944,January,15,7.4,San Juan,Argentina,8000,,,1968,7.3,12000
44,1944,February,1,7.4,Gerede,Turkey,2790,,,1969,5.9,3000
45,1945,January,12,7.1,Mikawa,Japan,1961,,,1970,7.433333333,237029
46,1945,November,27,8,Makran Coast,Pakistan,4000,,,1971,6.75,533
47,1946,May,31,5.9,Ustukran,Turkey,1300,,,1972,6.65,5027
48,1946,November,10,7.3,Ancash,Peru,1400,,,1974,6.5,12650
49,1946,December,29,8.1,Honshu,Japan,1362,,,1975,6.85,2150
50,1948,June,28,7.3,Fukui,Japan,3769,,,1976,7.3,48737
51,1948,October,5,7.3,Ashgabat,Turkmenistan,110000,,,1977,7.2,1500
52,1949,July,10,7.5,Khait,Tajikistan,12000,,,1978,7.8,15000
53,1949,August,5,6.8,Pelileo,Ecuador,5050,,,1980,7.1,3868
54,1950,August,15,8.6,Assam,India,1526,,,1981,7.1,2250
55,1951,August,2,5.8,Cosiguina,Nicaragua,1000,,,1982,6,2800
56,1953,March,18,7.3,Northwest,Turkey,1070,,,1983,6.9,1342
57,1954,September,9,6.8,Orleansville,Algeria,1250,,,1985,8,9500
58,1956,June,10,7.7,North,Afghanistan,2000,,,1986,5.5,1000
59,1957,July,2,7.1,North,Iran,1200,,,1987,7,1000
60,1957,December,13,7.1,West,Iran,1130,,,1988,6.8,13000
61,1960,February,29,5.7,Agadir,Morocco,12000,,,1989,6.9,63
